ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Bahia;Recôncavo;7-TQ-2-BA;7TQ  0002  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;19,4432;0,0000;19,4432;0,1967;0,0000;0,1967;5,93359;246,8994;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;7-AG-85-BA;7AG  0085  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;61,2865;0,0000;61,2865;0,7164;0,0000;0,7164;0,00000;3.343,5151;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;7-BA-10-BA;7BA  0010  BA       ;BURACICA;Petrobras;480000036359746;2013/01;7,1574;0,0000;7,1574;0,0068;0,0000;0,0068;0,21158;879,5774;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;7-TQ-12-BA;7TQ  0012  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;29,2884;0,0000;29,2884;0,6913;0,0000;0,6913;20,85706;86,4814;PLATAFORMA DE CURIMÃ 2;UEP;0
Bahia;Recôncavo;7-BA-11-BA;7BA  0011  BA       ;BURACICA;Petrobras;480000036359746;2013/01;14,4536;0,0000;14,4536;0,0138;0,0000;0,0138;0,42632;779,6398;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-TQ-14-BA;7TQ  0014  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;42,7206;0,0000;42,7206;0,0532;0,0000;0,0532;1,60483;1.411,6760;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-CS-4-BA;7CS  0004  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;5,6602;0,0000;5,6602;0,0167;0,0000;0,0167;0,46657;143,2894;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-AG-122-BA;7AG  0122  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;14,1772;0,0000;14,1772;0,4784;0,0000;0,4784;0,00000;152,6105;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-CS-3-BA;7CS  0003  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;16,4665;0,0000;16,4665;0,0662;0,0000;0,0662;1,85426;86,4463;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-TQ-18-BA;7TQ  0018  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;53,9690;0,0000;53,9690;0,7801;0,0000;0,7801;23,53479;56,6207;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-TQ-20-BA;7TQ  0020  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;78,3913;0,0000;78,3913;0,7092;0,0000;0,7092;21,39720;728,2983;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-BA-17-BA;7BA  0017  BA       ;BURACICA;Petrobras;480000036359746;2013/01;8,3021;0,0000;8,3021;0,0079;0,0000;0,0079;0,24465;763,3557;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-C-135-BA;7C   0135  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;18,4653;0,0000;18,4653;27,6533;0,0000;27,6533;0,00000;0,2613;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-AG-140-BA;7AG  0140  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;5,0578;0,0000;5,0578;0,2692;0,0000;0,2692;0,00000;189,4706;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-CS-6-BA;7CS  0006  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;11,6938;0,0000;11,6938;0,0214;0,0000;0,0214;0,59815;7,9893;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-BA-39-BA;7BA  0039  BA       ;BURACICA;Petrobras;480000036359746;2013/01;65,5991;0,0000;65,5991;0,0626;0,0000;0,0626;1,93974;844,0109;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-AG-145-BA;7AG  0145  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;17,5914;0,0000;17,5914;2,6189;0,0000;2,6189;0,00000;139,4711;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-BA-27-BA;7BA  0027  BA       ;BURACICA;Petrobras;480000036359746;2013/01;11,7362;0,0000;11,7362;0,0111;0,0000;0,0111;0,34563;980,1961;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-TQ-29-BA;7TQ  0029  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;15,6570;0,0000;15,6570;0,1756;0,0000;0,1756;5,29882;137,8396;PLATAFORMA DE CARAPEBA-II;UEP;0
Sergipe;Sergipe;1-PTA-3-SE;1PTA 0003  SE       ;HARPIA;Nord;48610009138200500;2013/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-AG-134-BA;7AG  0134  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;30,3299;0,0000;30,3299;0,4786;0,0000;0,4786;0,00000;1.015,5249;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-TQ-35-BA;7TQ  0035  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;14,5047;0,0000;14,5047;0,3282;0,0000;0,3282;9,90035;139,4591;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-AG-135-BA;7AG  0135  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;76,1978;0,0000;76,1978;1,2224;0,0000;1,2224;0,00000;4.389,9307;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;3-SE-3-BA;3SE  0003  BA       ;SAUÍPE;Nova Petróleo Rec;480000036959778;2013/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;6-TQC-1-BA;6TQC 0001  BA       ;TAQUIPE;Petrobras;480000037009714;2013/01;32,5603;0,0000;32,5603;0,3296;0,0000;0,3296;9,94436;191,9898;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;4-BJ-1-BA;4BJ  0001  BA       ;BREJINHO;Petrobras;480000036369717;2013/01;9,9580;0,0000;9,9580;0,0633;0,0000;0,0633;1,96311;321,9715;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;4-CB-1-BA;4CB  0001  BA       ;CANABRAVA;Petrobras;480000036379771;2013/01;12,0797;0,0000;12,0797;0,0517;0,0000;0,0517;1,60311;251,2607;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-AG-155-BA;7AG  0155  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;0,0000;0,0000;0,0000;1,0034;0,0000;1,0034;0,00000;0,0000;PLATAFORMA DE CARAPEBA-II;UEP;0
Bahia;Recôncavo;7-BA-60-BA;7BA  0060  BA       ;BURACICA;Petrobras;480000036359746;2013/01;24,4649;0,0000;24,4649;0,0233;0,0000;0,0233;0,72333;537,2186;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-CS-17-BA;7CS  0017  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;65,0395;0,0000;65,0395;0,0119;0,0000;0,0119;0,33254;864,0921;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;3-CSX-1-BA;3CSX 0001  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;106,2842;0,0000;106,2842;0,0891;0,0000;0,0891;2,49440;1.665,1156;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-BA-53-BA;7BA  0053  BA       ;BURACICA;Petrobras;480000036359746;2013/01;6,1957;0,0000;6,1957;0,0059;0,0000;0,0059;0,18232;591,1050;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-BA-57-BA;7BA  0057  BA       ;BURACICA;Petrobras;480000036359746;2013/01;7,3777;0,0000;7,3777;0,0070;0,0000;0,0070;0,21758;348,2181;PLATAFORMA DE CARAPEBA-I;UEP;0
Bahia;Recôncavo;7-AG-164-BA;7AG  0164  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;9,0537;0,0000;9,0537;0,2980;0,0000;0,2980;0,00000;368,1785;PLATAFORMA DE CARAPEBA-I;UEP;0
