Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Bahia;Recôncavo;7-AG-36-BA;7AG  0036  BA;ÁGUA GRANDE;Petrobras;480000036299743;2020/12;1,8669;0,0000;1,8669;0,1820;0,0000;0,1820;0,00000;307,2172;Estação Coletora de Rio Ventura;INSTALACAO EMB/DESEMB;744;2020/02;Baiano Mistura;36,5;< 210ºC;20.22%;210ºC a 500ºC;49.58%;> 500ºC;30.2%;85,391;9,595;1,039;0,221;0,318;0,146;0,18;0,198;0,093;0,038;0;0;0;0,023;1,296;1,462;2,03865;532,63022;39428,7715;07/03/2021
Sergipe;Sergipe;7-AG-15D-SE;7AG15DSE;AGUILHADA;Petrobras;480000038429709;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;75,27;1,52;3,9;2,27;1,86;0,97;0;0,92;0,01;0,27;0,13;0;0,03;0,18;12,56;0,11;2,13808;544,6;32835,1569;07/03/2021
Sergipe;Sergipe;7-AG-18D-SE;7AG18DSE;AGUILHADA;Petrobras;480000038429709;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;75,27;1,52;3,9;2,27;1,86;0,97;0;0,92;0,01;0,27;0,13;0;0,03;0,18;12,56;0,11;2,13808;544,6;32835,1569;07/03/2021
Sergipe;Sergipe;7-AG-7-SE;7AG  0007  SE;AGUILHADA;Petrobras;480000038429709;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;75,27;1,52;3,9;2,27;1,86;0,97;0;0,92;0,01;0,27;0,13;0;0,03;0,18;12,56;0,11;2,13808;544,6;32835,1569;07/03/2021
Sergipe;Sergipe;9-CL-5-SE;9CL  0005  SE;CASTANHAL;Petrobras;480000038489787;2020/12;2,3149;0,0000;2,3149;0,0037;0,0000;0,0037;0,11402;4,3172;Castanhal;INSTALACAO EMB/DESEMB;738;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-7-SE;9CL  0007  SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-9-SE;9CL  0009  SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;7-CL-11-SE;7CL  0011  SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-12-SE;9CL  0012  SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-14-SE;9CL  0014  SE;CASTANHAL;Petrobras;480000038489787;2020/12;4,1665;0,0000;4,1665;0,0066;0,0000;0,0066;0,20518;78,9852;Castanhal;INSTALACAO EMB/DESEMB;738;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
