Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;7-PRG-19HA-RJS;BMC7A09T2;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-69H-RJS;BMC7A1;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-43H-RJS;BMC7A10;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-31H-RJS;BMC7A12;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-34HP-RJS;BMC7A13B;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-56H-RJS;BMC7A15;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-46H-RJS;BMC7A17;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-11H-RJS;BMC7A18;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-17H-RJS;BMC7A19T3;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-60H-RJS;BMC7A21;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-27H-RJS;BMC7A22;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-23HP-RJS;BM-C-7-A-23T2;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-25H-RJS;BM-C-7-A-24;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-57H-RJS;BMC7A27;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-55H-RJS;BMC7A28;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-49H-RJS;BMC7A29;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino A;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-44H-RJS;BMC7B1;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino B;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-41HA-RJS;BMC7B02T2;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino B;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-33H-RJS;BMC7B07;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino B;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-12HA-RJS;BMC7B9A;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino B;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
Rio de Janeiro;Campos;7-PRG-54H-RJS;BMC7B10;PEREGRINO;Equinor Brasil;486100038872000;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Peregrino B;UEP;0;2015/07;peregrino;13,42;< 290ºC;16.7%;290ºC a 380ºC;12.58%;> 380ºC;70.72%;47,141;7,695;15,279;6,587;9;4,817;3,736;0,887;1,337;0,303;0,066;0,408;1,399;0,025;0,826;0,494;2,13379;544,0585;40976,2694;23/12/2020 15:39
