Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;7-MLS-51HP-RJS;7MLS51HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MRL-173HP-RJS;7MRL173HPRJS;MARLIM SUL;Petrobras;480000037239710;2020/11;15,9104;0,0000;15,9104;0,1917;0,0000;0,1917;5,73548;11,6400;PETROBRAS 18;UEP;164;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-139HP-RJS;7MLS139HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-131H-RJS;7MLS131HRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MRL-53D-RJS;7MRL 0053D RJS;MARLIM SUL;Petrobras;480000037239710;2020/11;52,3086;0,0000;52,3086;0,6237;0,0000;0,6237;18,65862;74,4544;PETROBRAS 19;UEP;641;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MRL-54-RJS;7MRL 0054  RJS;MARLIM SUL;Petrobras;480000037239710;2020/11;16,6000;0,0000;16,6000;0,3034;0,0000;0,3034;9,07667;29,2317;PETROBRAS 19;UEP;637;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;3-MLS-2-RJS;3MLS 0002  RJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MRL-183HP-RJS;7MRL183HPRJS;MARLIM SUL;Petrobras;480000037239710;2020/11;53,2660;0,0000;53,2660;0,5320;0,0000;0,5320;15,91633;91,6803;PETROBRAS 19;UEP;520;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-113HA-RJS;7MLS113HARJS;MARLIM SUL;Petrobras;480000037249774;2020/11;2.111,8339;0,0000;2.111,8339;32,7102;0,0000;32,7102;978,61309;7.896,8573;PETROBRAS 40;UEP;640;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-95H-RJS;7MLS95HRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;2.060,4468;0,0000;2.060,4468;29,0563;0,0000;29,0563;869,29688;11.042,3693;PETROBRAS 51;UEP;727;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
